SourceTable	SourceName	Schema	NewTable	NewName
T_Acceptable_Param_Entries	entry_id	public	"t_acceptable_param_entries"	"entry_id"
T_Acceptable_Param_Entries	Parameter_Name	public	"t_acceptable_param_entries"	"parameter_name"
T_Acceptable_Param_Entries	Description	public	"t_acceptable_param_entries"	"description"
T_Acceptable_Param_Entries	Parameter_Category	public	"t_acceptable_param_entries"	"parameter_category"
T_Acceptable_Param_Entries	Default_Value	public	"t_acceptable_param_entries"	"default_value"
T_Acceptable_Param_Entries	Display_Name	public	"t_acceptable_param_entries"	"display_name"
T_Acceptable_Param_Entries	Canonical_Name	public	"t_acceptable_param_entries"	"canonical_name"
T_Acceptable_Param_Entries	Analysis_Tool_ID	public	"t_acceptable_param_entries"	"analysis_tool_id"
T_Acceptable_Param_Entries	First_Applicable_Version	public	"t_acceptable_param_entries"	"first_applicable_version"
T_Acceptable_Param_Entries	Last_Applicable_Version	public	"t_acceptable_param_entries"	"last_applicable_version"
T_Acceptable_Param_Entries	Param_Entry_Type_ID	public	"t_acceptable_param_entries"	"param_entry_type_id"
T_Acceptable_Param_Entries	Picker_Items_List	public	"t_acceptable_param_entries"	"picker_items_list"
T_Acceptable_Param_Entries	Output_Order	public	"t_acceptable_param_entries"	"output_order"
T_Acceptable_Param_Entry_Types	Param_Entry_Type_ID	public	"t_acceptable_param_entry_types"	"param_entry_type_id"
T_Acceptable_Param_Entry_Types	Param_Entry_Type_Name	public	"t_acceptable_param_entry_types"	"param_entry_type_name"
T_Acceptable_Param_Entry_Types	Description	public	"t_acceptable_param_entry_types"	"description"
T_Acceptable_Param_Entry_Types	Formatting_String	public	"t_acceptable_param_entry_types"	"formatting_string"
T_Active_Requested_Run_Cached_EUS_Users	Request_ID	public	"t_active_requested_run_cached_eus_users"	"request_id"
T_Active_Requested_Run_Cached_EUS_Users	User_List	public	"t_active_requested_run_cached_eus_users"	"user_list"
T_Analysis_Job	job	public	"t_analysis_job"	"job"
T_Analysis_Job	batch_id	public	"t_analysis_job"	"batch_id"
T_Analysis_Job	priority	public	"t_analysis_job"	"priority"
T_Analysis_Job	created	public	"t_analysis_job"	"created"
